"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",14340968
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",12881575
"1AE","AURORA ENERGY METALS LIMITED","2022-05-18","Materials",19965539
"1AG","ALTERRA LIMITED","2008-05-16","Food, Beverage & Tobacco",7662078
"1CG","ONE CLICK GROUP LIMITED","2017-04-28","Capital Goods",7544937
"1MC","MORELLA CORPORATION LIMITED","2001-01-08","Materials",79281546
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services","N/A"
"29M","29METALS LIMITED","2021-07-02","Materials",873661320
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",919641307
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",66473634
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",125394148
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services","N/A"
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",359429421
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",50312025
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",114851816
"5EA","5E ADVANCED MATERIALS INC.","2022-03-01","Materials",491558726
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",59162143
"88E","88 ENERGY LIMITED","2000-01-20","Energy",182657630
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",22279648
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",17867800
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",29878903
"92E","92 ENERGY LIMITED","2021-04-15","Energy",36611206
"A11","ATLANTIC LITHIUM LIMITED","2022-09-26","Materials",363444996
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",12278216
"A1M","AIC MINES LIMITED","1993-11-04","Materials",167111437
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",127292217
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",5103788365
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",5524742
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",540048351
"A8G","AUSTRALASIAN METALS LIMITED","2021-05-13","Materials",10684701
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",1054841807
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",8789844
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",6101990
"AAR","ASTRAL RESOURCES NL","1986-11-13","Materials",45913289
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",13523008
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",272289870
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Telecommunication Services",606046454
"ABC","ADBRI LIMITED","1962-05-31","Materials",1070309190
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","2021-12-06","Diversified Financials",37903325
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2368192727
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",15165951
"ABX","ABX GROUP LIMITED","2009-12-24","Materials",25712944
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",97889477
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences","N/A"
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",83805586
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",162204950
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",595410344
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",7613498
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",91710427
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",20047507
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",11650682
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",15077300
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",173400206
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",7007313
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",569987244
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",61093460
"ADC","ACDC METALS LTD",,"Materials",0
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",9692768
"ADG","ADELONG GOLD LIMITED","2007-03-21","Materials",3211756
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",370043495
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",130620354
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",111352989
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",19917753
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",19839135
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials",845513505
"ADV","ARDIDEN LTD","2005-10-25","Materials",18818347
"ADX","ADX ENERGY LTD","1987-01-29","Energy",24590388
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials",7821475
"AE1","AERISON GROUP LTD","2021-07-12","Capital Goods",56601560
"AEE","AURA ENERGY LIMITED","2006-05-30","Energy",138657722
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","2002-12-17","Diversified Financials",434210900
"AEI","AERIS ENVIRONMENTAL LTD","2000-09-12","Commercial & Professional Services",6878047
"AER","AEERIS LTD","2015-04-01","Media & Entertainment",9305902
"AEV","AVENIRA LIMITED","2006-10-10","Materials",23660131
"AFA","ASF GROUP LIMITED","1985-05-29","Diversified Financials",33283948
"AFG","AUSTRALIAN FINANCE GROUP LTD","2015-05-22","Banks",391874552
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",9230117689
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",10998599
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",356545284
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",3697016
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",6000000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",23880143
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",132130666
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",11257629352
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",22405496
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",340161868
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",5503072366
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",39115013
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",22854665
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",730291899
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",31879908
"AHF","AUSTRALIAN DAIRY NUTRITIONALS LIMITED","2006-06-30","Food, Beverage & Tobacco",24983200
"AHI","ADVANCED HEALTH INTELLIGENCE LTD","2015-08-17","Software & Services",18233019
"AHK","ARK MINES LIMITED","2011-05-09","Materials",8476986
